"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC02601",0.0606870258122298,0.0202290086040766,1.29858492382812,0.275736784284666,0.632951392072483,-7.7187666425215
"GH1",-0.0606715527749529,0.0202238509249843,-1.29858486860959,0.275736801161069,0.632951392072483,-7.71876670447001
"LOC442132",-0.0606351622822908,0.0202117207607636,-1.29858473857641,0.275736840903022,0.632951392072483,-7.71876685035146
"LOC102724849",-0.0605666569272549,0.0201888856424183,-1.29858449315194,0.275736915911959,0.632951392072483,-7.71876712568794
"RTP3",0.0604527158090449,0.0201509052696816,1.29858408310204,0.275737041235312,0.632951392072483,-7.71876758571414
"LOC105371279",0.060415680176695,0.0201385600588983,1.29858394931888,0.275737082123408,0.632951392072483,-7.71876773580259
"LOC112267894",0.0602525077252379,0.020084169241746,1.29858335695364,0.275737263167842,0.632951392072483,-7.71876840036437
"LOC107985235",0.0602016286745574,0.0200672095581858,1.29858317126166,0.275737319920856,0.632951392072483,-7.71876860868816
"LINC02621",0.0599384280458827,0.0199794760152943,1.29858220310388,0.275737615818986,0.632951392072483,-7.71876969484319
"LOC107983982",-0.0598874434352181,0.0199624811450727,-1.29858201408489,0.275737673588911,0.632951392072483,-7.71876990689943
"LOC105375237",0.0597118842186837,0.0199039614062279,1.29858135951378,0.27573787364575,0.632951392072483,-7.71877064124826
"LOC107985669",-0.0596995977110694,0.0198998659036898,-1.29858131348734,0.275737887712836,0.632951392072483,-7.7187706928843
"SERPINB9-AS1",-0.0595552539685341,0.0198517513228447,-1.29858077062719,0.275738053627527,0.632951392072483,-7.71877130190696
"LOC105378487",0.0595203690732066,0.0198401230244022,1.29858063883628,0.275738093906882,0.632951392072483,-7.71877144976023
"LOC102724389",-0.0594717366426617,0.0198239122142206,-1.29858045472174,0.275738150177955,0.632951392072483,-7.71877165631419
"LOC105370254",-0.0594717366426617,0.0198239122142206,-1.29858045472174,0.275738150177955,0.632951392072483,-7.71877165631419
"TMCO2",0.0594417048458851,0.019813901615295,1.29858034080048,0.275738184995807,0.632951392072483,-7.71877178411988
"LOC107986955",0.0590622566023535,0.0196874188674512,1.29857888641909,0.275738629500027,0.632951392072483,-7.71877341575727
"BCAR4",-0.058907119437887,0.0196357064792957,-1.29857828368752,0.275738813713765,0.632951392072483,-7.71877409194791
