"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC105376217",-0.120422298014719,0.0945591608460989,-2.91437880718689,0.0535400064281951,0.176586045661229,-6.03502610153306
"SMIM43",0.0324193558960168,0.0151706447260602,2.91417106049763,0.0535498520848922,0.176603725269331,-6.03524904863694
"LOC105375020",-0.182247476618887,0.762602825249771,-2.91367589916854,0.0535733279303084,0.176666349575206,-6.03578046766486
"ERCC1",0.189933032295604,4.09701941108395,2.91335489014961,0.053588553800335,0.176701760098349,-6.03612500311942
"SPOCD1",0.0445089928205588,0.0334906441449713,2.91312117380172,0.0535996425701012,0.17672352424679,-6.03637585863446
"MIR5010",-0.448993371298563,4.47740394419204,-2.91289503697062,0.053610374376863,0.176744107905435,-6.03661858708428
"TRIOBP",-0.151191066874712,3.05446045896636,-2.91207042595574,0.0536495301500083,0.176858389159949,-6.03750376866154
"MIR4697HG",0.374420009610472,1.86899927346177,2.91149877870152,0.0536766945758136,0.176933124506328,-6.03811746896189
"PFN1",0.152673805436965,9.50047827525989,2.91096663748127,0.0537019966918484,0.177001709170002,-6.03868880374608
"SPIN1",0.167942588026604,5.94727968672218,2.91080609422405,0.0537096330033037,0.177011257352003,-6.03886118027903
"HECW2",-0.0645533159174448,0.0544139211120059,-2.91071607599139,0.0537139153370544,0.177011257352003,-6.03895783534506
"NT5C",-0.202209568236402,4.79889911157572,-2.91062222365288,0.0537183805074182,0.177011257352003,-6.03905860857038
"CUTALP",-0.170373795757205,2.74862825443282,-2.90985048584086,0.0537551142111658,0.177103085280921,-6.03988730927704
"AMBRA1",-0.117525741483254,3.40927489364064,-2.90984776294444,0.0537552438713944,0.177103085280921,-6.03989023332158
"LOC105374772",0.252425080835403,0.783784897385772,2.90925434231238,0.053783510723111,0.177181388153595,-6.04052751978512
"PFKP-DT",0.102061040471475,0.247036169547397,2.90899029484441,0.0537960940919782,0.177208015458676,-6.04081110374208
"CTNNBL1",0.131138327208229,4.94313418343318,2.90811769098831,0.053837704059059,0.177330245911108,-6.04174834922781
"SSX2B",0.172930867278039,0.530450573063124,2.90785472769507,0.0538502510745641,0.177336182678603,-6.04203081634487
"PLEKHM1",-0.205154538721465,2.99648458279077,-2.9077705248516,0.053854269474004,0.177336182678603,-6.042121266787
"CD2AP",-0.123120500861649,6.14340662372368,-2.90771749717388,0.0538568002924501,0.177336182678603,-6.04217822953854
"ARF4-AS1",-0.340473210230726,3.9786658627176,-2.90770237528827,0.0538575220315623,0.177336182678603,-6.04219447366987
"TIGAR",0.274412222237252,2.78409888772517,2.9075887054136,0.0538629476561515,0.177339217410595,-6.04231658053117
"FRMD4A",-0.13524747456317,0.448353800072152,-2.90743899929729,0.0538700943534896,0.177347917648353,-6.04247740151084
"B3GALT5",0.0519108423997351,0.0386226614396432,2.90709757791866,0.0538863974920413,0.177386758201792,-6.04284418490834
"TNFSF9",-0.172616326219877,1.92643112470124,-2.9069380517059,0.0538940170454361,0.17739700945887,-6.0430155676654
"FAM72D",0.296992108515449,2.84435094568216,2.90621700297625,0.0539284732699014,0.177486515945493,-6.04379025776568
"ZBTB46",0.207303132669462,1.54391087763221,2.90618036156093,0.0539302249396018,0.177486515945493,-6.04382962727445
"LZTR1",0.174982299575476,4.63601008513781,2.90542798512174,0.053966208109622,0.177590094284016,-6.04463806823906
"FGD3",0.288771215018473,0.640904204402846,2.90506843122203,0.0539834144254893,0.177631870264852,-6.04502444667034
"TATDN3",0.14608754645596,4.25724302203045,2.90470787366186,0.0540006754540066,0.177673819280192,-6.04541192429152
"LOC101928264",0.0733428373526994,0.183668032164156,2.90446189848655,0.05401245490361,0.177684485534814,-6.04567627640786
"SEMA3F",-0.164097962512079,3.57031695934265,-2.90445171306825,0.0540129427380044,0.177684485534814,-6.04568722299188
"CYP1B1-AS1",-0.0865356365596108,0.0389685825517916,-2.90429107659358,0.0540206371885072,0.177694951433607,-6.04585986616107
"OR10H1",-0.162371272500464,0.0541237575001547,-2.90408112485385,0.054030695833526,0.177713191692361,-6.0460855168283
"ZMYM3",-0.249620104465157,4.17995882806822,-2.90385210082542,0.0540416708097411,0.177734442571228,-6.04633167389031
"LOC102724117",0.245211654739892,1.7309893292961,2.90309985782192,0.0540777378014361,0.177821436906389,-6.0471402500562
"CHKB",-0.298919784248191,4.22705760981641,-2.90302173714208,0.0540814850434215,0.177821436906389,-6.04722422611125
"ELMOD2",-0.154448929911412,4.36389879139529,-2.90301786428684,0.0540816708222179,0.177821436906389,-6.04722838927366
"LOC105374538",0.140908988121708,0.170237202057822,2.90285756608779,0.0540893609202492,0.177831871816457,-6.04740070543266
"COQ4",-0.065427688258219,5.89815127073286,-2.90260662089444,0.0541014023536933,0.177852869061001,-6.04767047282483
"TTC39C-AS1",-0.183036162136131,0.447463466704401,-2.90253621179344,0.0541047814703272,0.177852869061001,-6.04774616477471
"MIR3917",0.29004039673642,6.78142510054524,2.90231365547125,0.0541154642129583,0.177866384079183,-6.04798542485229
"FMO2",-0.171757443531645,0.149061238324654,-2.90221325522429,0.0541202842798334,0.177866384079183,-6.04809336312318
"RNGTT",-0.104826838577941,3.41663946830793,-2.90216825266652,0.054122444954861,0.177866384079183,-6.04814174498128
"CLDN34",0.125848759422405,0.10735344237693,2.90196667221482,0.054132124574271,0.177883347770601,-6.04835846632169
"LOC105370784",0.0759398479270203,0.0353118250622011,2.90173112861244,0.054143437718253,0.177905676101017,-6.0486117100007
"RFT1",-0.121024833792814,2.88612060154179,-2.90160486496859,0.0541495033334813,0.177910759700642,-6.04874746543944
"LOC105377506",0.0410032109320392,0.192354225732178,2.90146751230168,0.0541561025933753,0.177917595620489,-6.0488951463903
"PCBD1",0.153079734425045,7.93342052841959,2.90110225808524,0.0541736563801881,0.177960416011474,-6.04928788062361
"RBBP5",0.229609851323795,4.38703669305784,2.90078817447473,0.0541887564724761,0.177988512902349,-6.04962561137408
"ZNF19",-0.24420621683751,1.83193428398532,-2.90071472591535,0.0541922883705992,0.177988512902349,-6.04970459208758
"SETD1B",-0.154018878504463,4.09757983053444,-2.90064231087875,0.0541957708433551,0.177988512902349,-6.04978246227276
"EIF4EBP1",0.176685493073017,7.48572807247521,2.90034686818931,0.0542099816323168,0.178016568235283,-6.05010016980325
"RHOXF1P1",0.577051951456413,1.4766878613416,2.90027673377315,0.0542133557603819,0.178016568235283,-6.05017559165324
"FLVCR2-AS1",-0.118758392257219,0.657929459048662,-2.90001621867594,0.0542258912282943,0.178042882023254,-6.05045575383014
"HHEX",-0.21520419686746,0.227847295637226,-2.8997342226501,0.0542394642778528,0.178053542996686,-6.05075902910543
"LRRC30",-0.194091285663015,0.0646970952210049,-2.89969739664859,0.0542412370933026,0.178053542996686,-6.05079863490777
"DIAPH1-AS1",-0.153316682490054,0.259079105638052,-2.89961191898298,0.0542453522862268,0.178053542996686,-6.05089056566277
"TMEM201",0.187482666415331,3.44148540902816,2.89957298890066,0.0542472266416478,0.178053542996686,-6.05093243513512
"PCGF6",0.371634777371366,3.37272358616304,2.89944275130347,0.05425349772452,0.178054992780741,-6.05107250798647
"LINC00888",-0.165809671982102,1.41393921335062,-2.89937599120123,0.0542567126373578,0.178054992780741,-6.05114431070848
"SPDYC",0.0680804858754494,0.0226934952918165,2.89907269362099,0.0542713212056296,0.178088090770102,-6.05147052631505
"PHACTR2",-0.108179075604085,2.97199522471667,-2.89876353429089,0.054286217019174,0.178122125742746,-6.05180306164726
"ARHGEF3",0.170232775490925,0.617642925419223,2.89863515108421,0.054292404193688,0.178127582928279,-6.05194115656463
"KCTD19",-0.0583339396547138,0.080245460238857,-2.89816166308208,0.0543152304046962,0.178184345878454,-6.05245048480997
"MSRA",-0.241171915348766,2.55284925615105,-2.89808855002229,0.054318756122799,0.178184345878454,-6.05252913527132
"PKD2L1",-0.249063876575709,0.37620963830856,-2.89680249528345,0.0543808187109283,0.178373071969684,-6.05391273146091
"LINC01816",0.376667110870234,0.457204381763673,2.89655087365358,0.0543929715542071,0.178395436143634,-6.05418346819013
"KCNF1",0.0582349126638093,0.0272151824260496,2.89647372202576,0.0543966984898783,0.178395436143634,-6.05426648285908
"LINC02026",0.0836996670788005,0.0387787989075423,2.89611985724954,0.0544137964748014,0.178424383699353,-6.05464725125858
"GABPA",0.107531853870314,4.30213054509435,2.89603750115423,0.0544177766789555,0.178424383699353,-6.05473587157448
"FAM86B2",0.210097904717592,2.88353829774333,2.89600971127267,0.0544191198213423,0.178424383699353,-6.05476577547042
"TAGAP-AS1",0.097582614350297,0.238861198321835,2.89580545351369,0.0544289932544481,0.178441896786065,-6.05498557516117
"SYNGR3",0.178365736926861,1.70839050837553,2.89494417767607,0.0544706495933685,0.178563596460685,-6.05591245818206
"MTRNR2L9",-0.409209924003267,4.37097247932844,-2.89480032760085,0.0544776107914801,0.178571549059585,-6.05606727743387
"LINC02343",-0.393133174299557,0.378926686522425,-2.89464053082924,0.0544853449473982,0.178582033793295,-6.0562392632378
"FBXO43",0.221283780155841,0.596335993756589,2.89438734164255,0.0544976020176366,0.178607339923624,-6.05651177357738
"METTL5",0.226446830083677,6.51590984877677,2.8941067562794,0.0545111892620773,0.178637000915941,-6.05681378261764
"TENT5A",-0.123521511314797,0.261789741042617,-2.89393118938359,0.0545196931143712,0.178649999724139,-6.05700276102024
"ZMYM2",0.08354656655957,3.90289948385284,2.89243458117223,0.0545922489648351,0.178859926007666,-6.05861389338557
"KIF13A",-0.128385375953207,3.38755825707387,-2.89242234295827,0.0545928427581685,0.178859926007666,-6.0586270695636
"LOC442028",-0.0615180419825683,0.0342726827803594,-2.89221944188907,0.0546026885794902,0.178877299286866,-6.05884552488868
"NCRNA00250",0.458772944402037,0.572575016125906,2.89190530252078,0.0546179365120244,0.178912365409688,-6.0591837588549
"ACSM4",-0.136686701525588,0.167088467325268,-2.89111515771517,0.0546563119812738,0.179009651529687,-6.06003457728474
"PPP1R35",-0.223240717841149,4.46023545411561,-2.89110658392331,0.0546567285693578,0.179009651529687,-6.06004380998419
"UBTD1",0.176384670914207,3.48674895941197,2.89090091594538,0.0546667228312145,0.179027492702008,-6.06026528732294
"MIR1279",0.560062476024857,4.01265337872695,2.89031754281765,0.0546950834129227,0.179096633847498,-6.06089353991174
"ACR",0.114092964921381,0.138750983167538,2.89023771982597,0.054698965380689,0.179096633847498,-6.06097950796392
"LOC105372255",0.0653014982579499,0.10078509902458,2.8901859930461,0.0547014811461881,0.179096633847498,-6.0610352173969
"ACTG1P25",0.28066295557051,1.60493200801471,2.88993559033992,0.0547136616274609,0.179121619100328,-6.06130490561813
"TMEM38A",0.0954848651751838,2.5456366439702,2.88865421225774,0.054776043916334,0.179310937243244,-6.06268512858294
"LOC101929950",0.121917078792574,4.02034904649144,2.88850160133887,0.0547834793323987,0.179320368711769,-6.06284952919303
